time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontal,depthError,magError,magNst,status,locationSo,magSource
1-May-1994,33.042,-80.171,3,0.7,md,,195,0.10792,0.1,se,se61394,22:59.9,"2 km N of Summerville, South Carolina",earthquake,,,,,reviewed,co,co
4-May-1994,32.755,-80.285,2,2,md,,192,0.01799,0,se,se61396,47:34.3,"3 km WSW of Ravenel, South Carolina",earthquake,,,,,reviewed,co,co
7-May-1994,32.965,-80.31,2,1.8,md,,143,0.02698,0,se,se61397,47:35.7,"13 km WSW of Centerville, South Carolina",earthquake,,,,,reviewed,co,co
19-Jun-1994,32.933,-80.162,5,1,md,,124,0.03597,0,se,se61404,47:57.5,South Carolina,earthquake,,0.7,,,reviewed,co,co
20-Jun-1994,33.04,-80.162,2.1,1.1,md,,179,0.09893,0,se,se61407,48:09.6,"2 km NNE of Summerville, South Carolina",earthquake,,2.3,,,reviewed,co,co
19-Sep-1994,32.915,-80.197,3,0.6,md,,134,0.00899,0,se,se61416,48:25.0,"9 km SSW of Centerville, South Carolina",earthquake,,,,,reviewed,co,co
20-Sep-1994,32.885,-80.207,8.5,0.6,md,,224,0.02698,0,se,se61418,48:28.1,"12 km SSW of Centerville, South Carolina",earthquake,,,,,reviewed,co,co
17-Oct-1994,32.929,-80.169,5,1,md,,83,0.02698,0.1,se,se61421,48:30.6,South Carolina,earthquake,,1.2,,,reviewed,co,co
1-Nov-1994,32.899,-80.162,3,0.7,md,,194,0.01799,0,se,se61423,48:32.9,"10 km S of Centerville, South Carolina",earthquake,,,,,reviewed,co,co
2-Mar-1995,32.962,-80.165,4.6,0.7,md,,220,0.06295,0,se,se61428,48:43.3,"3 km S of Centerville, South Carolina",earthquake,,,,,reviewed,co,co
10-Apr-1995,32.944,-80.167,3.9,0.6,md,,205,0.04497,0,se,se61431,49:04.6,"5 km S of Centerville, South Carolina",earthquake,,,,,reviewed,co,co
10-Apr-1995,32.939,-80.143,5,1.2,md,,120,0.04497,0,se,se61432,49:10.2,"6 km SSW of Ladson, South Carolina",earthquake,,1.1,,,reviewed,co,co
17-Apr-1995,32.997,-80.171,8.4,3.9,mb_lg,,85,0.07195,0,se,se61434,49:13.0,"0 km NNW of Centerville, South Carolina",earthquake,,0.4,,,reviewed,co,us
11-May-1995,32.943,-80.133,7,1,md,,132,0.04497,0.1,se,se61435,49:18.7,"5 km SSW of Ladson, South Carolina",earthquake,,1.7,,,reviewed,co,co
16-May-1995,32.962,-80.143,3,0.2,md,,153,0.06295,0.2,se,se61436,49:19.6,"4 km SW of Ladson, South Carolina",earthquake,,,,,reviewed,co,co
5-Jun-1995,32.941,-80.162,3,1,md,,113,0.04497,0,se,se61438,49:26.1,"6 km S of Centerville, South Carolina",earthquake,,,,,reviewed,co,co
20-Jun-1995,32.939,-80.143,6.4,0.8,md,,120,0.04497,0,se,se61439,49:27.2,"6 km SSW of Ladson, South Carolina",earthquake,,0.4,,,reviewed,co,co
21-Jul-1995,32.985,-80.164,6.5,2.1,md,,,,,se,se61444,49:46.4,"1 km SSE of Centerville, South Carolina",earthquake,,,,,reviewed,se,se
23-Jul-1995,32.815,-80.203,9.4,0.4,md,,285,0.08993,0,se,se61445,49:53.5,"7 km NE of Ravenel, South Carolina",earthquake,,1.3,,,reviewed,co,co
29-Jul-1995,33.001,-80.156,0.4,1.2,md,,84,0.08094,0,se,se61446,49:54.6,"0 km S of Lincolnville, South Carolina",earthquake,,47.2,,,reviewed,co,co
18-Aug-1995,32.932,-80.143,3.6,0.2,md,,124,0.03597,0.1,se,se61448,50:06.5,"6 km SSW of Ladson, South Carolina",earthquake,,3,,,reviewed,co,co
19-Aug-1995,32.979,-80.188,7.3,0,md,,142,0.07195,0.1,se,se61449,50:12.2,"2 km SW of Centerville, South Carolina",earthquake,,,,,reviewed,co,co
16-Sep-1995,32.972,-80.154,4.1,1.2,md,,140,0.07195,0.1,se,se61450,50:18.1,"3 km SSE of Centerville, South Carolina",earthquake,,2.9,,,reviewed,co,co
16-Sep-1995,32.979,-80.157,3.9,2.3,md,,81,0.08094,0.1,se,se61451,50:19.1,"2 km SE of Centerville, South Carolina",earthquake,,1.7,,,reviewed,co,co
13-Jan-1996,32.75,-80.229,9.8,0.5,md,,325,0.09893,1.1,se,se61458,50:39.7,"2 km NE of Hollywood, South Carolina",earthquake,,,,,reviewed,co,co
25-Feb-1996,32.763,-80.057,5,0.3,md,,297,0.15288,4.5,se,se61459,50:45.7,"5 km ESE of Shell Point, South Carolina",earthquake,,5.2,,,reviewed,co,co
6-May-1996,33.028,-80.239,12.6,0.4,md,,111,0.06295,0,se,se61461,50:56.7,"6 km W of Summerville, South Carolina",earthquake,,1.9,,,reviewed,co,co
1-Jul-1996,33.091,-80.23,0.1,0.5,md,,144,0.10792,0.8,se,se61464,51:14.4,"7 km E of Ridgeville, South Carolina",earthquake,,99,,,reviewed,co,co
17-Sep-1996,32.82,-80.121,0.1,0.3,md,,265,0.08094,1.6,se,se61470,51:39.6,"3 km NNW of Shell Point, South Carolina",earthquake,,99,,,reviewed,co,co
18-Sep-1996,33.678,-82.105,13.9,2.8,mb_lg,,261,0.50362,0.3,se,se61471,51:45.4,"6 km E of Clarks Hill, South Carolina",earthquake,,25,,,reviewed,se,us
11-Oct-1996,32.916,-80.165,7.3,0.6,md,,117,0.02698,0,se,se61474,51:53.1,"8 km S of Centerville, South Carolina",earthquake,,3,,,reviewed,co,co
20-Oct-1996,32.901,-80.159,1,0.5,md,,141,0.01799,0,se,se61476,51:55.3,"10 km SSW of Ladson, South Carolina",earthquake,,15.7,,,reviewed,co,co
21-Oct-1996,33.087,-80.346,18.2,0.5,md,,143,0.04497,0.4,se,se61477,51:56.7,"3 km WSW of Ridgeville, South Carolina",earthquake,,20.7,,,reviewed,co,co
2-Nov-1996,33.075,-80.547,5,0,md,,250,0.12591,0.4,se,se61480,52:08.6,"12 km SSE of Saint George, South Carolina",earthquake,,,,,reviewed,co,co
14-Nov-1996,32.949,-80.156,5.6,0.4,md,,98,0.05396,0,se,se61481,52:10.4,"5 km SSE of Centerville, South Carolina",earthquake,,2.2,,,reviewed,co,co
10-Jan-1997,32.944,-80.202,2.3,0.6,md,,228,0.03597,0.1,se,se61487,52:44.6,"6 km SSW of Centerville, South Carolina",earthquake,,1.4,,,reviewed,co,co
15-Feb-1997,32.896,-80.131,6.9,1,md,,214,0.00899,0.1,se,se61489,52:46.3,"10 km SSW of Ladson, South Carolina",earthquake,,1.7,,,reviewed,co,co
2-Mar-1997,32.98,-80.172,7.5,1.6,md,,78,0.06295,0.1,se,se61492,53:04.5,"1 km S of Centerville, South Carolina",earthquake,,1.9,,,reviewed,co,co
22-Mar-1997,33.093,-80.151,9.1,0.9,md,,209,0.04497,0.1,se,se61494,53:07.5,"6 km NNW of Sangaree, South Carolina",earthquake,,1,,,reviewed,co,co
29-Mar-1997,32.989,-80.143,5.8,1.8,md,,83,0.06295,0.1,se,se61498,53:13.7,"2 km SSE of Lincolnville, South Carolina",earthquake,,1.9,,,reviewed,co,co
10-May-1997,32.94,-80.157,6.6,0.9,md,,294,0.04497,0,se,se61504,53:30.5,"6 km SSE of Centerville, South Carolina",earthquake,,0.9,,,reviewed,co,co
3-Jun-1997,32.923,-80.157,5.9,1,md,,210,0.02698,0,se,se61513,23:07.5,"8 km S of Centerville, South Carolina",earthquake,,0.6,,,reviewed,co,co
1-Sep-1997,33.362,-80.732,1.5,2.3,md,,111,0.03597,0.4,se,se61538,54:58.2,"4 km WNW of Bowman, South Carolina",earthquake,,3.6,,,reviewed,co,co
17-Sep-1997,32.952,-80.148,6.2,2.2,md,,208,0.06295,0.1,se,se61545,55:24.4,"5 km SW of Ladson, South Carolina",earthquake,,0.5,,,reviewed,co,co
27-Sep-1997,32.888,-80.172,5,0.8,md,,175,0.02698,0.1,se,se61547,55:30.6,"11 km S of Centerville, South Carolina",earthquake,,0.9,,,reviewed,co,co
15-Oct-1997,32.947,-80.232,10.4,0,md,,89,0.02698,0,se,se61555,56:03.7,"7 km SW of Centerville, South Carolina",earthquake,,0.3,,,reviewed,co,co
26-Nov-1997,32.931,-80.157,6.9,2.5,md,,101,0.03597,0.1,se,se61574,57:06.8,"7 km S of Centerville, South Carolina",earthquake,,1.3,,,reviewed,co,co
5-Dec-1997,32.96,-80.181,8.9,1.3,md,,155,0.05396,0.1,se,se61577,57:09.3,"4 km SSW of Centerville, South Carolina",earthquake,,1.5,,,reviewed,co,co
6-Dec-1997,32.938,-80.174,6.5,1.2,md,,125,0.03597,0.1,se,se61579,57:16.7,"6 km S of Centerville, South Carolina",earthquake,,1.5,,,reviewed,co,co
6-Feb-1998,32.925,-80.167,5.6,0.9,md,,88,0.02698,0.1,se,se61595,57:41.7,"7 km S of Centerville, South Carolina",earthquake,,0.5,,,reviewed,co,co
29-Mar-1998,32.94,-80.149,9.4,1.7,md,,111,0.04497,0.2,se,se61605,57:51.4,"6 km SW of Ladson, South Carolina",earthquake,,1.1,,,reviewed,co,co
11-Apr-1998,33.042,-80.259,9.7,1.6,md,,119,0.08094,0.1,se,se61608,57:53.4,"7 km SE of Ridgeville, South Carolina",earthquake,,0.9,,,reviewed,co,co
13-Apr-1998,34.471,-80.603,6.6,3.9,mb_lg,,248,0.17087,0.1,se,se61609,57:54.4,"9 km S of Kershaw, South Carolina",earthquake,,0.9,,,reviewed,co,us
4-May-1998,32.932,-80.173,10.5,2.2,md,,84,0.02698,0.1,se,se61621,58:07.0,"7 km S of Centerville, South Carolina",earthquake,,1,,,reviewed,co,co
19-Jul-1998,32.995,-80.231,11.7,1.8,md,,92,0.02698,0.1,se,se61645,59:03.2,"5 km W of Centerville, South Carolina",earthquake,,1.7,,,reviewed,co,co
28-Aug-1998,32.984,-80.161,7.3,1.4,md,,254,0.07195,0.1,se,se61655,59:41.6,"1 km SE of Centerville, South Carolina",earthquake,,1.1,,,reviewed,co,co
11-Sep-1998,33.094,-80.156,9.9,2.1,md,,151,0.04497,0.1,se,se61662,00:04.5,"7 km NNW of Sangaree, South Carolina",earthquake,,0.8,,,reviewed,co,co
11-Sep-1998,32.943,-80.164,6.9,1.4,md,,96,0.04497,0.1,se,se61663,00:09.8,"5 km S of Centerville, South Carolina",earthquake,,0.7,,,reviewed,co,co
12-Sep-1998,32.95,-80.213,11,1.6,md,,72,0.03597,0.1,se,se61664,23:38.3,"6 km SW of Centerville, South Carolina",earthquake,,1.4,,,reviewed,co,co
27-Sep-1998,32.929,-80.207,8,0.4,md,,193,0.02698,0.1,se,se61671,00:26.5,"8 km SSW of Centerville, South Carolina",earthquake,,0.8,,,reviewed,co,co
27-Sep-1998,32.919,-80.207,8.8,0.5,md,,171,0.01799,0.1,se,se61672,00:31.6,"9 km SSW of Centerville, South Carolina",earthquake,,2.2,,,reviewed,co,co
31-Oct-1998,33.05,-80.194,8.7,1.8,md,,120,0.08993,0.1,se,se61681,00:51.0,"3 km NNW of Summerville, South Carolina",earthquake,,1.8,,,reviewed,co,co
5-Nov-1998,32.934,-80.155,5.7,1.5,md,,108,0.03597,0.1,se,se61682,00:56.8,South Carolina,earthquake,,1.3,,,reviewed,co,co
11-Nov-1998,32.982,-80.176,7.3,1.3,md,,237,0.08094,0.1,se,se61683,01:03.0,"1 km SSW of Centerville, South Carolina",earthquake,,1.5,,,reviewed,co,co
13-Nov-1998,32.988,-80.224,12.5,2,md,,88,0.02698,0.1,se,se61685,01:10.1,"5 km W of Centerville, South Carolina",earthquake,,0.6,,,reviewed,co,co
15-Nov-1998,33.047,-80.154,9.1,2.1,md,,105,0.08094,0.1,se,se61687,01:11.4,"2 km WNW of Sangaree, South Carolina",earthquake,,1.1,,,reviewed,co,co
26-Nov-1998,32.936,-80.174,6.4,1.5,md,,151,0.03597,0.1,se,se61688,01:17.3,"6 km S of Centerville, South Carolina",earthquake,,1,,,reviewed,co,co
5-Dec-1998,32.994,-80.171,6.5,1.6,md,,153,0.07195,0.2,se,se61691,01:20.3,"0 km SSW of Centerville, South Carolina",earthquake,,1.1,,,reviewed,co,co
6-Jan-1999,32.917,-80.129,8,1.3,md,,173,0.01799,0.2,se,se61697,01:40.3,"7 km SSW of Ladson, South Carolina",earthquake,,0.5,,,reviewed,co,co
20-Mar-1999,32.94,-80.252,15.5,1.5,md,,136,0.06295,0.1,se,se61708,02:22.0,"9 km SW of Centerville, South Carolina",earthquake,,1,,,reviewed,co,co
29-Mar-1999,33.064,-80.14,10.7,3,md,,111,0.06295,0.1,se,se61709,02:23.3,"3 km NNW of Sangaree, South Carolina",earthquake,,1.2,,,reviewed,co,co
29-Mar-1999,33.057,-80.147,7.9,2,md,,109,0.07195,0.1,se,se61710,02:24.7,"2 km NW of Sangaree, South Carolina",earthquake,,1.1,,,reviewed,co,co
5-Apr-1999,34.119,-81.109,0.1,1.5,md,,271,0.12591,0.1,se,se61714,02:28.6,"7 km ENE of Irmo, South Carolina",earthquake,,2,,,reviewed,co,co
27-May-1999,34.746,-82.065,3,2.4,mb_lg,,175,0.61154,0.2,se,se61734,03:09.4,"2 km WNW of Woodruff, South Carolina",earthquake,,2.1,,,reviewed,co,us
30-May-1999,32.918,-80.139,5.4,1.2,md,,144,0.01799,0,se,se61738,03:17.7,"7 km SSW of Ladson, South Carolina",earthquake,,1.4,,,reviewed,co,co
30-Oct-1999,34.9,-82.3,5,2.3,mblg,,,,,us,usp0009gtr,08:47.3,"2 km S of Taylors, South Carolina",earthquake,,,,,reviewed,macr,us
30-Oct-1999,34.9,-82.3,5,2.2,mblg,,,,,us,usp0009gts,08:47.3,"2 km S of Taylors, South Carolina",earthquake,,,,,reviewed,macr,us
22-Nov-1999,34.899,-82.562,7.4,1.7,md,,238,1.16912,0.7,se,se61766,04:12.9,"8 km NNE of Easley, South Carolina",earthquake,,16.3,,,reviewed,se,se
26-Nov-1999,34.736,-82.745,8.1,1.7,md,,226,1.25006,0.8,se,se61767,04:14.0,"2 km SSE of Norris, South Carolina",earthquake,,22.3,,,reviewed,se,se
11-Jan-2000,32.862,-80.128,2.5,0.8,md,,279,0.03597,0.1,se,se61777,04:57.9,"8 km NNW of Shell Point, South Carolina",earthquake,,1.8,,,reviewed,co,co
18-Feb-2000,34.556,-80.5,0.1,2.4,md,,148,0.2608,0.2,se,se61782,05:13.4,"7 km E of Kershaw, South Carolina",earthquake,,1.5,,,reviewed,co,co
7-Apr-2000,33.944,-81.03,1,1.8,md,,352,0.29678,0.2,se,se61793,05:54.6,"4 km ESE of Cayce, South Carolina",earthquake,,11.1,,,reviewed,co,co
7-Apr-2000,33.939,-81.057,0.8,1.4,md,,304,0.28778,0.1,se,se61794,05:56.1,"3 km SSE of Cayce, South Carolina",earthquake,,3.8,,,reviewed,co,co
7-Apr-2000,33.972,-81.006,1,1.2,md,,352,0.28778,0.2,se,se61795,06:01.4,"4 km SE of Columbia, South Carolina",earthquake,,4.7,,,reviewed,co,co
7-May-2000,33.025,-80.157,7.7,1.3,md,,145,0.08094,0.1,se,se61805,06:22.3,"1 km ENE of Summerville, South Carolina",earthquake,,0.8,,,reviewed,co,co
23-May-2000,32.929,-80.151,6.5,1,md,,155,0.03597,0.1,se,se61811,06:40.4,"7 km SSW of Ladson, South Carolina",earthquake,,0.5,,,reviewed,co,co
27-May-2000,32.95,-80.129,6.8,1.3,md,,181,0.05396,0.1,se,se61812,06:45.8,"4 km SSW of Ladson, South Carolina",earthquake,,0.9,,,reviewed,co,co
21-Jul-2000,32.786,-80.317,6.7,1.7,md,,303,0.07195,0.1,se,se61825,07:01.8,"6 km WNW of Ravenel, South Carolina",earthquake,,0.9,,,reviewed,co,co
6-Aug-2000,32.912,-80.162,7.1,0.6,md,,227,0.02698,0.1,se,se61830,07:16.4,"9 km S of Centerville, South Carolina",earthquake,,0.6,,,reviewed,co,co
10-Aug-2000,33.016,-80.179,7.1,1.6,md,,151,0.07195,0.1,se,se61833,07:20.9,"0 km SW of Summerville, South Carolina",earthquake,,0.8,,,reviewed,co,co
16-Aug-2000,35.166,-82.418,2,1.7,md,,350,0.45865,0.2,se,se61835,07:22.3,"9 km SW of Saluda, North Carolina",earthquake,,6.4,,,reviewed,co,co
4-Sep-2000,32.923,-80.166,6.3,1.3,md,,108,0.02698,0.1,se,se61841,07:46.3,"8 km S of Centerville, South Carolina",earthquake,,0.5,,,reviewed,co,co
22-Sep-2000,33.01,-80.151,4.8,2.4,md,,138,0.07195,0.1,se,se61850,08:18.9,"0 km NE of Lincolnville, South Carolina",earthquake,,1.1,,,reviewed,co,co
23-Sep-2000,35.02167,-82.34467,7.78,2.2,md,,,,,se,se604678,59:35.6,North Carolina,earthquake,1.8,4.7,,,reviewed,se,se
23-Sep-2000,35.049,-82.415,2,2.4,md,,203,0.2608,0.2,se,se61851,08:24.0,"4 km WSW of Tigerville, South Carolina",earthquake,,54.4,,,reviewed,co,co
24-Sep-2000,33.039,-80.16,7,2.3,md,,102,0.08993,0.1,se,se61852,08:25.3,"2 km NNE of Summerville, South Carolina",earthquake,,0.8,,,reviewed,co,co
19-Oct-2000,32.969,-80.227,12.3,2,md,,80,0.01799,0.1,se,se61859,08:47.9,"6 km WSW of Centerville, South Carolina",earthquake,,0.5,,,reviewed,co,co
15-Nov-2000,32.95,-80.163,5.9,1,md,,140,0.05396,0.2,se,se61866,09:08.6,"5 km S of Centerville, South Carolina",earthquake,,0.6,,,reviewed,co,co
3-Dec-2000,32.948,-80.17,6.2,0.8,md,,138,0.04497,0.1,se,se61873,09:40.0,"5 km S of Centerville, South Carolina",earthquake,,1.2,,,reviewed,co,co
18-Dec-2000,32.95,-80.199,9.5,1,md,,137,0.04497,0.1,se,se61876,09:47.8,"5 km SSW of Centerville, South Carolina",earthquake,,0.6,,,reviewed,co,co
23-May-2001,34.219,-82.501,0,2.2,md,,217,1.14214,0.4,se,se61921,33:45.6,"10 km SSE of Antreville, South Carolina",earthquake,,3.5,,,reviewed,se,se
17-Aug-2001,34.325,-82.469,0,2.4,md,,215,1.23207,0.5,se,se61938,34:10.1,"7 km ENE of Antreville, South Carolina",earthquake,,3.3,,,reviewed,se,se
19-Sep-2001,33.259,-81.259,5.7,1.8,md,,139,0.11691,0.1,se,se61950,35:06.9,"1 km SW of Hilda, South Carolina",earthquake,,1.8,,,reviewed,se,se
8-Oct-2001,33.324,-81.665,3.9,2.5,mb_lg,,136,0.00899,0.1,se,se61957,35:16.9,"10 km S of New Ellenton, South Carolina",earthquake,,0.8,,,reviewed,se,us
8-Oct-2001,33.318,-81.672,4.1,1,md,,94,0.00899,0.1,se,se61958,35:22.5,"10 km E of Jackson, South Carolina",earthquake,,0.9,,,reviewed,se,se
8-Oct-2001,33.337,-81.681,4.2,1.4,md,,210,0.00899,0.1,se,se61959,35:24.0,"9 km S of New Ellenton, South Carolina",earthquake,,0.5,,,reviewed,se,se
14-Oct-2001,33.348,-81.663,3,0.7,md,,220,0.02698,0.1,se,se61960,35:30.1,"8 km SSE of New Ellenton, South Carolina",earthquake,,1.9,,,reviewed,se,se
15-Oct-2001,33.348,-81.694,4.7,0.8,md,,225,0.02698,0.1,se,se61961,35:35.4,"8 km S of New Ellenton, South Carolina",earthquake,,0.5,,,reviewed,se,se
17-Dec-2001,33.335,-81.684,4.9,1.1,md,,208,0.00899,0.1,se,se61976,36:06.6,"9 km S of New Ellenton, South Carolina",earthquake,,0.5,,,reviewed,se,se
27-Dec-2001,33.328,-81.655,2.4,0.1,md,,145,0.01799,0.1,se,se61977,36:07.9,"10 km SSE of New Ellenton, South Carolina",earthquake,,0.9,,,reviewed,se,se
7-Jan-2002,32.932,-80.15,5.8,0.7,md,,117,0.03597,0.1,se,se61979,36:14.4,"7 km SSW of Ladson, South Carolina",earthquake,,0.6,,,reviewed,co,co
11-Jan-2002,32.937,-80.147,6.1,2.7,md,,121,0.03597,0.1,se,se61980,36:15.6,"6 km SSW of Ladson, South Carolina",earthquake,,0.5,,,reviewed,co,co
11-Jan-2002,32.938,-80.149,6.7,2,md,,124,0.03597,0.1,se,se61981,36:16.8,"6 km SW of Ladson, South Carolina",earthquake,,0.7,,,reviewed,co,co
22-Jan-2002,32.935,-80.146,6.7,1.1,md,,123,0.03597,0,se,se61985,36:31.1,"6 km SSW of Ladson, South Carolina",earthquake,,0.7,,,reviewed,co,co
28-Jan-2002,33.018,-80.157,4.7,2.4,md,,89,0.08094,0,se,se61987,36:42.8,"1 km N of Lincolnville, South Carolina",earthquake,,1.1,,,reviewed,co,co
2-Feb-2002,33.014,-80.159,7.7,2.2,md,,139,0.08094,0.1,se,se61990,36:55.2,"0 km NNW of Lincolnville, South Carolina",earthquake,,0.7,,,reviewed,co,co
6-Mar-2002,33.331,-81.679,4.6,1.4,md,,203,0.00899,0.1,se,se61995,37:21.7,"10 km S of New Ellenton, South Carolina",earthquake,,0.4,,,reviewed,se,se
13-Mar-2002,32.919,-80.153,7.6,2.2,md,,222,0.03597,0.2,se,se61996,37:26.8,"8 km SSW of Ladson, South Carolina",earthquake,,0.6,,,reviewed,co,co
14-Apr-2002,34.338,-81.321,2.1,2.3,mblg,7,,,,us,usp000b2d9,15:25.3,"8 km NNW of Jenkinsville, South Carolina",earthquake,,,,,reviewed,csc,csc
28-Apr-2002,32.935,-80.153,6.9,2.3,md,,121,0.03597,0,se,se62008,38:17.2,"6 km SW of Ladson, South Carolina",earthquake,,0.7,,,reviewed,co,co
30-May-2002,32.964,-80.205,10.1,2,md,,161,0.03597,0,se,se62017,38:57.1,"4 km SW of Centerville, South Carolina",earthquake,,0.5,,,reviewed,co,co
7-Jul-2002,33.043,-80.134,10.8,2.9,md,,117,0.07195,0,se,se62019,39:09.1,"1 km NW of Sangaree, South Carolina",earthquake,,0.9,,,reviewed,co,co
16-Jul-2002,32.938,-80.138,6.7,2.8,md,,134,0.03597,0,se,se62021,39:16.2,"5 km SSW of Ladson, South Carolina",earthquake,,0.5,,,reviewed,co,co
16-Jul-2002,32.938,-80.138,7.2,2.3,md,,135,0.03597,0,se,se62022,39:17.3,"5 km SSW of Ladson, South Carolina",earthquake,,0.5,,,reviewed,co,co
26-Jul-2002,33.06,-80.195,10,3,md,,128,0.09893,0.1,se,se62024,39:21.3,"4 km NNW of Summerville, South Carolina",earthquake,,0.5,,,reviewed,co,co
21-Sep-2002,32.922,-80.163,8.2,2,md,,108,0.02698,0,se,se62034,39:47.7,"8 km S of Centerville, South Carolina",earthquake,,0.6,,,reviewed,co,co
1-Oct-2002,32.925,-80.17,5.7,1.1,md,,110,0.02698,0,se,se62035,39:49.3,"7 km S of Centerville, South Carolina",earthquake,,0.6,,,reviewed,co,co
29-Nov-2002,33.049,-80.177,9.1,2.5,md,,115,0.08993,0,se,se62043,40:17.9,"3 km N of Summerville, South Carolina",earthquake,,0.7,,,reviewed,co,co
16-Dec-2002,33.049,-80.184,8.5,2.8,md,,161,0.05396,0.1,se,se62046,40:25.8,"3 km NNW of Summerville, South Carolina",earthquake,,0.8,,,reviewed,co,co
1-Feb-2003,32.931,-80.154,5.5,2.1,md,,,,,se,se605330,27:04.4,"7 km SSE of Centerville, South Carolina",earthquake,0.3,0.7,,,reviewed,se,se
26-Feb-2003,32.936,-80.157,7.9,2.1,md,,,,,se,se605332,27:16.6,"6 km S of Centerville, South Carolina",earthquake,0.4,0.6,,,reviewed,se,se
28-Feb-2003,32.932,-80.159,4.3,2.6,md,,,,,se,se605333,27:22.7,"7 km S of Centerville, South Carolina",earthquake,0.3,0.6,,,reviewed,se,se
2-Mar-2003,32.931,-80.165,6.5,2.9,md,,,,,se,se605334,27:28.7,"7 km S of Centerville, South Carolina",earthquake,0.3,0.5,,,reviewed,se,se
15-Mar-2003,32.918,-80.16,5.8,0.9,md,,,,,se,se605335,27:34.8,"8 km S of Centerville, South Carolina",earthquake,0.3,0.5,,,reviewed,se,se
15-Mar-2003,32.937,-80.137,5.4,2.3,md,,,,,se,se605336,27:40.9,"5 km SSW of Ladson, South Carolina",earthquake,0.3,0.7,,,reviewed,se,se
15-Mar-2003,32.939,-80.138,5.3,2,md,,,,,se,se605337,27:47.0,"5 km SSW of Ladson, South Carolina",earthquake,0.3,0.7,,,reviewed,se,se
4-Apr-2003,33.986,-81.032,0.5,1.4,md,,,,,se,se605339,27:59.1,"1 km S of Columbia, South Carolina",earthquake,0.3,1.4,,,reviewed,se,se
30-Apr-2003,32.909,-80.162,6.9,1.6,md,,,,,se,se605350,29:09.0,"9 km S of Centerville, South Carolina",earthquake,0.6,0.5,,,reviewed,se,se
5-May-2003,33.055,-80.19,11.4,3.1,md,,,,,se,se605352,29:21.4,"4 km NNW of Summerville, South Carolina",earthquake,0.3,0.7,,,reviewed,se,se
8-May-2003,33.989,-81.053,0.9,1.5,md,,,,,se,se605354,29:33.7,"2 km ESE of West Columbia, South Carolina",earthquake,4.2,99,,,reviewed,se,se
12-Jun-2003,32.982,-80.227,10.4,2.6,md,,,,,se,se605356,29:45.9,"5 km WSW of Centerville, South Carolina",earthquake,0.3,0.5,,,reviewed,se,se
27-Jun-2003,34.027,-81.256,2.9,1.4,md,,,,,se,se605358,29:58.0,"5 km NNW of Lexington, South Carolina",earthquake,3.4,14.8,,,reviewed,se,se
19-Jul-2003,32.924,-80.137,5.7,2.5,md,,,,,se,se605364,30:35.4,"7 km SSW of Ladson, South Carolina",earthquake,0.7,0.7,,,reviewed,se,se
24-Sep-2003,32.898,-80.148,4.9,1,md,,,,,se,se605368,31:00.5,South Carolina,earthquake,0.5,0.4,,,reviewed,se,se
14-Oct-2003,32.946,-80.177,7.2,2.5,md,,,,,se,se605373,31:31.1,"5 km S of Centerville, South Carolina",earthquake,0.3,0.6,,,reviewed,se,se
20-Oct-2003,32.925,-80.158,7,1.4,md,,,,,se,se605376,31:49.6,"7 km S of Centerville, South Carolina",earthquake,0.6,0.6,,,reviewed,se,se
22-Oct-2003,32.983,-80.166,7.5,2.4,md,,,,,se,se605377,31:55.7,"1 km SSE of Centerville, South Carolina",earthquake,0.3,0.7,,,reviewed,se,se
28-Oct-2003,32.927,-80.17,7.4,1.7,md,,,,,se,se605378,32:01.8,"7 km S of Centerville, South Carolina",earthquake,0.8,0.6,,,reviewed,se,se
18-Nov-2003,32.888,-80.169,3.4,1.1,md,,,,,se,se605382,32:26.5,"11 km S of Centerville, South Carolina",earthquake,0.9,1,,,reviewed,se,se
1-Dec-2003,32.939,-80.139,8.4,2.1,md,,,,,se,se605383,32:32.5,"5 km SSW of Ladson, South Carolina",earthquake,0.9,0.7,,,reviewed,se,se
2-Dec-2003,32.928,-80.149,5.4,1.3,md,,,,,se,se605384,32:38.6,"7 km SSW of Ladson, South Carolina",earthquake,0.6,0.9,,,reviewed,se,se
11-Dec-2003,33.997,-81.046,1.1,1.5,md,,,,,se,se605388,33:03.2,"1 km WSW of Columbia, South Carolina",earthquake,5.4,99,,,reviewed,se,se
22-Dec-2003,32.929,-80.162,10.2,1.8,md,,,,,se,se605390,33:15.6,"7 km S of Centerville, South Carolina",earthquake,1,0.6,,,reviewed,se,se
22-Dec-2003,32.924,-80.157,5.6,3,md,,,,,se,se605391,33:21.7,"8 km S of Centerville, South Carolina",earthquake,0.3,0.6,,,reviewed,se,se
22-Dec-2003,32.904,-80.151,6.7,1.5,md,,,,,se,se605392,33:27.8,"9 km SSW of Ladson, South Carolina",earthquake,0.6,0.4,,,reviewed,se,se
12-Jan-2004,34.452,-81.164,2.5,1.4,md,,,,,se,se605589,41:22.9,South Carolina,earthquake,2.2,19.3,,,reviewed,se,se
13-Jan-2004,33.017,-80.219,7.5,2.2,md,,,,,se,se605590,41:29.0,"4 km W of Summerville, South Carolina",earthquake,0.2,0.7,,,reviewed,se,se
